"long","lat","study.id","variable","year","jan","feb","mar","apr","may","june","july","aug","sep","oct","nov","dec"
-110.55,45.6,"MT164","ppt",1901,14,8,19,30,111,35,10,19,57,8,11,23
-109.2167,47.1833,"MT166","ppt",1901,12,10,19,36,127,100,52,13,51,8,11,38
-114.2,48.85,"MT168","ppt",1901,145,142,94,68,144,154,49,14,127,32,125,125
-113.5,48.35,"MT169","ppt",1901,171,132,98,78,149,134,34,10,141,25,93,157
-111.5,48.8333,"MT173","ppt",1901,11,10,14,26,169,107,38,12,87,6,9,14
-114.25,44.42,"ID014","ppt",1901,11,17,14,22,25,21,2,9,23,10,9,21
-108.93,42.49,"WY057","ppt",1901,23,61,52,72,73,36,13,26,13,32,20,121
-109.35,44.2333,"WY059","ppt",1901,13,24,44,60,109,62,14,34,39,21,15,39
-107.3833,44.05,"WY060","ppt",1901,4,17,34,30,72,55,13,22,13,19,14,44
-109.67,44.48,"WY061","ppt",1901,15,13,22,31,68,38,11,27,38,13,12,26
-113.1667,44.0333,"WY062","ppt",1901,36,63,35,73,52,39,7,34,41,26,22,74
-110.8,43.23,"WY063","ppt",1901,38,54,36,46,58,36,15,49,26,30,16,64
-107.6167,44.4833,"WY068","ppt",1901,11,47,66,57,110,69,16,62,23,26,27,81
-109.2833,43.95,"WY070","ppt",1901,15,34,64,76,123,74,19,43,37,30,23,59
-109.55,33.97,"AZ554","ppt",1901,79,81,51,32,36,1,147,93,26,56,33,39
-121.65,45.32,"OR043","ppt",1901,392,382,234,209,94,104,5,7,195,47,319,262
-109.3,31.85,"AZ551","ppt",1901,68,68,33,11,11,5,226,142,30,86,41,5
-123.67,40.75,"CA558","ppt",1901,627,486,137,298,126,2,3,8,217,180,397,277
-123.43,47.97,"WA084","ppt",1901,299,223,153,232,91,50,11,2,51,137,502,272
-110.78,32.45,"AZ555","ppt",1901,120,160,58,11,17,0,157,149,26,61,30,9
-107.5,35.25,"NM571","ppt",1901,57,114,42,49,41,5,131,79,62,76,99,20
-105.67,33.33,"NM570","ppt",1901,32,103,17,27,22,13,219,72,68,151,94,16
-122.8,38.02,"CA608","ppt",1901,207,169,27,101,48,0,0,0,20,37,130,66
-118.3,48.83,"WA003","ppt",1901,139,130,88,58,61,60,41,10,95,29,111,61
-123.15,47.82,"WA031","ppt",1901,292,268,168,248,133,101,27,3,82,149,561,320
-118.05,48.98,"WA001","ppt",1901,114,107,42,43,64,74,40,8,97,26,119,63
-118.78,48.12,"WA008","ppt",1901,49,50,19,31,42,47,14,3,56,8,50,26
-118.75,48.25,"WA007","ppt",1901,40,44,16,26,35,42,16,3,64,9,48,23
-123.25,47.95,"WA020","ppt",1901,264,220,130,186,80,68,18,2,61,107,404,228
-122.03,45.88,"WA033","ppt",1901,501,524,268,246,88,75,7,10,199,63,411,316
-123.47,47.97,"WA036","ppt",1901,304,236,158,234,92,49,11,2,51,139,509,277
-123.47,47.98,"WA032","ppt",1901,323,258,169,248,97,52,12,2,56,147,541,295
-121.98,45.97,"WA027","ppt",1901,520,539,284,254,103,84,9,11,205,68,428,329
-118.8,48.48,"WA004","ppt",1901,36,35,15,23,40,44,24,5,54,9,46,20
-121.63,48.13,"WA034","ppt",1901,456,355,319,305,189,144,36,4,185,213,759,315
-117.17,48.3,"WA006","ppt",1901,105,112,49,55,69,63,44,7,88,25,119,66
-121.8,48.9,"WA019","ppt",1901,210,201,151,156,98,101,28,1,95,130,396,195
-120.73,48.48,"WA023","ppt",1901,245,186,101,78,70,61,14,2,84,53,302,135
-121.05,48.73,"WA025","ppt",1901,244,169,99,79,59,54,15,2,80,81,373,164
-121.75,48.35,"WA041","ppt",1901,529,389,384,360,213,163,42,3,194,244,896,388
-117.55,48.83,"WA005","ppt",1901,134,128,54,56,80,111,63,10,119,36,139,68
-118.48,48.77,"WA002","ppt",1901,77,72,41,37,55,67,34,8,115,19,78,41
-121.53,46.67,"WA017","ppt",1901,376,347,146,154,87,65,12,6,98,86,394,262
-108.8,35.97,"NM520","ppt",1901,43,45,21,28,43,4,56,47,18,41,20,24
-107.07,36.98,"NM503","ppt",1901,22,21,22,24,46,11,26,53,21,24,8,14
-107.32,36.68,"NM537","ppt",1901,17,19,15,18,32,9,24,40,20,20,10,10
-108.48,37.18,"CO509","ppt",1901,30,34,24,20,39,7,14,46,7,26,10,16
-103.3,29.25,"TX042","ppt",1901,7,32,3,9,12,30,107,45,68,69,6,2
-108.52,37.17,"CO076","ppt",1901,27,31,22,18,37,7,13,43,7,24,9,15
-109.38,36.1,"AZ082","ppt",1901,13,18,7,8,31,2,25,34,4,16,6,10
-107.82,37,"NM022","ppt",1901,26,26,22,22,35,7,20,42,14,25,9,16
-106.52,36.35,"NM026","ppt",1901,17,17,14,21,40,7,59,56,25,24,16,5
-110.5,36.67,"AZ023","ppt",1901,16,35,9,9,11,2,13,50,2,20,6,12
-107.32,36.68,"NM024","ppt",1901,18,19,15,19,33,9,25,41,20,20,10,11
-105.57,35.53,"NM039","ppt",1901,23,32,16,30,60,11,140,80,43,32,47,5
-108.13,35.6,"NM025","ppt",1901,21,22,8,12,27,5,46,44,19,26,18,6
